epoch,train_loss,val_mIoU,best_iou,epoch_time_s
408,0.075380,0.685660,0.695176,27.81
409,0.080740,0.658154,0.695176,29.94
410,0.082441,0.678561,0.695176,29.31
411,0.078558,0.561291,0.695176,33.13
412,0.074253,0.650235,0.695176,29.96
413,0.075219,0.663798,0.695176,29.42
414,0.075990,0.665059,0.695176,30.35
415,0.079030,0.547223,0.695176,34.37
416,0.078361,0.660687,0.695176,30.13
417,0.076948,0.463245,0.695176,29.06
418,0.080122,0.382287,0.695176,36.66
419,0.078628,0.521669,0.695176,28.07
420,0.080887,0.671455,0.695176,29.30
421,0.078121,0.655331,0.695176,29.20
422,0.076548,0.621506,0.695176,31.04
423,0.078015,0.651494,0.695176,30.85
424,0.075586,0.589767,0.695176,30.32
425,0.077935,0.625545,0.695176,31.21
426,0.076615,0.631010,0.695176,30.56
427,0.074599,0.677885,0.695176,30.33
428,0.079391,0.655422,0.695176,28.57
429,0.077403,0.644573,0.695176,31.29
430,0.077583,0.647472,0.695176,30.63
431,0.075716,0.512252,0.695176,33.17
432,0.076389,0.608041,0.695176,32.35
433,0.076330,0.582767,0.695176,30.28
434,0.075851,0.617348,0.695176,31.13
435,0.078316,0.515723,0.695176,29.42
436,0.076577,0.620682,0.695176,29.79
437,0.079897,0.598068,0.695176,31.06
438,0.078247,0.515994,0.695176,35.09
439,0.076191,0.633088,0.695176,30.21
440,0.075122,0.640404,0.695176,29.74
441,0.077291,0.616864,0.695176,31.46
442,0.077558,0.439299,0.695176,35.11
443,0.075094,0.665079,0.695176,30.60
444,0.078067,0.413089,0.695176,28.91
445,0.077250,0.668065,0.695176,28.88
446,0.077721,0.283438,0.695176,38.50
447,0.076502,0.656691,0.695176,29.43
448,0.073115,0.669592,0.695176,29.64
449,0.076588,0.570674,0.695176,29.61
450,0.077978,0.670961,0.695176,30.58
451,0.075204,0.603831,0.695176,34.64
452,0.076093,0.648210,0.695176,29.07
453,0.079399,0.639222,0.695176,28.54
454,0.076948,0.630963,0.695176,30.87
455,0.076827,0.668182,0.695176,29.12
456,0.076086,0.657559,0.695176,28.83
457,0.076516,0.477943,0.695176,37.43
458,0.077453,0.631089,0.695176,30.45
459,0.079835,0.521356,0.695176,35.09
460,0.080154,0.468779,0.695176,36.95
461,0.079278,0.662282,0.695176,30.23
462,0.074843,0.636407,0.695176,30.81
463,0.073909,0.606799,0.695176,30.41
464,0.074134,0.678937,0.695176,29.34
465,0.076301,0.627036,0.695176,30.54
466,0.075806,0.627442,0.695176,29.78
467,0.075077,0.659610,0.695176,29.99
468,0.074129,0.602611,0.695176,32.50
469,0.075695,0.631099,0.695176,31.26
470,0.075267,0.630478,0.695176,31.64
471,0.075057,0.583041,0.695176,29.88
472,0.076511,0.626914,0.695176,31.03
473,0.075125,0.631738,0.695176,30.18
474,0.076183,0.587913,0.695176,30.93
475,0.077622,0.633837,0.695176,29.61
476,0.078118,0.655171,0.695176,29.19
477,0.075399,0.284015,0.695176,29.30
478,0.074297,0.517141,0.695176,29.63
479,0.076344,0.590955,0.695176,29.40
480,0.077607,0.662128,0.695176,29.66
481,0.074096,0.633813,0.695176,31.30
482,0.077871,0.336355,0.695176,27.33
483,0.077757,0.554894,0.695176,32.33
484,0.077068,0.680694,0.695176,28.01
485,0.075413,0.572139,0.695176,34.06
486,0.073808,0.671710,0.695176,29.12
487,0.075850,0.559514,0.695176,32.85
488,0.076472,0.669332,0.695176,28.91
489,0.075276,0.589121,0.695176,31.19
490,0.077733,0.544012,0.695176,32.20
491,0.076481,0.541667,0.695176,34.65
492,0.076683,0.532040,0.695176,36.99
493,0.075728,0.667858,0.695176,28.92
494,0.076161,0.576645,0.695176,28.86
495,0.081095,0.664415,0.695176,29.27
496,0.077645,0.662565,0.695176,29.94
497,0.075432,0.407213,0.695176,38.64
498,0.077733,0.575376,0.695176,33.16
499,0.077253,0.589481,0.695176,31.01
500,0.077522,0.628592,0.695176,31.37
501,0.075086,0.642464,0.695176,28.20
502,0.074433,0.667474,0.695176,29.55
503,0.076871,0.590501,0.695176,32.99
504,0.076822,0.685366,0.695176,28.79
505,0.075328,0.661196,0.695176,29.51
506,0.076483,0.660413,0.695176,30.12
507,0.074144,0.654003,0.695176,29.34
508,0.073463,0.488944,0.695176,35.74
509,0.075599,0.633590,0.695176,30.99
510,0.074747,0.568444,0.695176,29.05
511,0.074970,0.665372,0.695176,29.77
512,0.074028,0.657101,0.695176,29.98
513,0.074097,0.599741,0.695176,31.41
514,0.077362,0.544623,0.695176,33.27
515,0.075755,0.657736,0.695176,29.08
516,0.075284,0.633217,0.695176,30.97
517,0.076226,0.597567,0.695176,32.99
518,0.075792,0.631764,0.695176,30.17
519,0.075062,0.649682,0.695176,29.13
520,0.073412,0.559838,0.695176,32.03
521,0.072602,0.599451,0.695176,29.46
522,0.076723,0.635535,0.695176,31.96
523,0.074217,0.658230,0.695176,29.48
524,0.075200,0.620035,0.695176,31.94
525,0.075281,0.579122,0.695176,32.31
526,0.074194,0.661774,0.695176,27.96
527,0.076452,0.196865,0.695176,28.53
528,0.073450,0.651135,0.695176,30.92
529,0.074431,0.622384,0.695176,31.54
530,0.073100,0.629852,0.695176,30.57
531,0.076031,0.625762,0.695176,31.14
532,0.075448,0.619170,0.695176,33.22
533,0.074783,0.552013,0.695176,31.15
534,0.074517,0.664544,0.695176,30.43
535,0.074706,0.519344,0.695176,32.35
536,0.075042,0.605322,0.695176,32.77
537,0.075591,0.621255,0.695176,30.68
538,0.073517,0.620929,0.695176,29.30
539,0.073560,0.650655,0.695176,29.61
540,0.073170,0.601880,0.695176,31.17
541,0.072884,0.654674,0.695176,29.15
542,0.074205,0.648017,0.695176,29.87
543,0.073225,0.654772,0.695176,28.57
544,0.073911,0.630544,0.695176,28.59
545,0.072870,0.428250,0.695176,36.21
546,0.073391,0.662002,0.695176,29.54
547,0.074947,0.638249,0.695176,28.61
548,0.077034,0.657804,0.695176,29.50
549,0.074099,0.650122,0.695176,30.18
550,0.073351,0.629051,0.695176,31.45
551,0.074171,0.657899,0.695176,29.09
552,0.074289,0.665517,0.695176,29.75
553,0.073953,0.678351,0.695176,30.22
554,0.073954,0.627269,0.695176,30.76
555,0.072175,0.546592,0.695176,34.49
556,0.075778,0.670700,0.695176,30.35
557,0.074232,0.644261,0.695176,31.06
558,0.075185,0.659663,0.695176,29.73
559,0.072324,0.491033,0.695176,35.54
560,0.073647,0.512884,0.695176,34.69
561,0.075563,0.619935,0.695176,30.66
562,0.073519,0.634105,0.695176,28.76
563,0.072614,0.490464,0.695176,27.66
564,0.073859,0.674523,0.695176,29.42
565,0.073153,0.676170,0.695176,29.74
566,0.074050,0.663476,0.695176,29.89
567,0.075551,0.494740,0.695176,35.96
568,0.074699,0.668453,0.695176,29.77
569,0.072115,0.499209,0.695176,35.34
570,0.075002,0.530003,0.695176,35.00
571,0.076360,0.656791,0.695176,29.50
572,0.071014,0.676308,0.695176,28.01
573,0.075687,0.642003,0.695176,30.36
574,0.075478,0.613643,0.695176,31.31
575,0.075722,0.658739,0.695176,30.82
576,0.077650,0.660119,0.695176,30.36
577,0.075307,0.658542,0.695176,30.38
578,0.073350,0.659815,0.695176,29.69
579,0.072309,0.669045,0.695176,29.69
580,0.073728,0.616010,0.695176,30.45
581,0.072243,0.608372,0.695176,31.07
582,0.075122,0.588205,0.695176,33.19
583,0.075201,0.651585,0.695176,29.19
584,0.072674,0.612635,0.695176,31.59
